target,sent_id1,sentence1,year1,text1,period1,sent_id2,sentence2,year2,text2,period2,semantic_relatedness,hate1,hate2,hate1_second,hate2_second,semantic_relatedness_second
hornes,466635,"o lorde ( saith he ) deliver thy howse from the greate idoll , breake the hornes of that sinnefull one .",1551,JohnBale,t0,334051,"13.11 . which was the second beast that iohn sawe , which came up out of the earth , and had two hornes like the lambe , but spake like the dragon : & it is the same beast , which whosoever worshippeth , or his image , or receiveth his marke , hee must drinke of the wine of the wrath of god , apoc .",1590,LaurenceDeios,t1,2,0,0,1,0,2
hornes,4702,"x. hornes , which bare the great whore arayd all in purple and rose coloure , apoca .",1550,JohnBale,t0,333429,"thus both sortes push at the peace of this church , with the hornes of the beast , and albeit upon diverse groundes , iet to one and the selfe same end , which is , the utter overthrowe of the church , if their courses be not carefully and speedily prevented .",1590,LaurenceDeios,t1,4,0,0,2,0,2
hornes,469980,"hornes of that earthly beaste were here in england , [ 304 ] the .",1551,JohnBale,t0,275061,"in the second & seventh chapters , of them all together , resembling them in the second chapter by an image , the golden head whereof figureth the babilonians , the breast and armes of silver the medes and persians , the belly and sides of brasse , represent the macedonians , his legges of iron , and his feete , part of iron , and part of clay , resemble the seleucidae & lagidae : and in the seventh chapter , the same foure kingdomes are figured by 4 . beastes , the babilonians by a lion , the medes and persians by a beare , the macedonians by a leoparde , the seleucidae and lagidae , by the beast with tenne hornes.6 severally he prophecieth , either of the babilonian monarchy , or of the rest .",1603,GeorgeDowname,t1,4,0,0,0,1,1
hornes,333429,"thus both sortes push at the peace of this church , with the hornes of the beast , and albeit upon diverse groundes , iet to one and the selfe same end , which is , the utter overthrowe of the church , if their courses be not carefully and speedily prevented .",1590,LaurenceDeios,t1,275061,"in the second & seventh chapters , of them all together , resembling them in the second chapter by an image , the golden head whereof figureth the babilonians , the breast and armes of silver the medes and persians , the belly and sides of brasse , represent the macedonians , his legges of iron , and his feete , part of iron , and part of clay , resemble the seleucidae & lagidae : and in the seventh chapter , the same foure kingdomes are figured by 4 . beastes , the babilonians by a lion , the medes and persians by a beare , the macedonians by a leoparde , the seleucidae and lagidae , by the beast with tenne hornes.6 severally he prophecieth , either of the babilonian monarchy , or of the rest .",1603,GeorgeDowname,t1,4,0,0,0,1,1
hornes,466635,"o lorde ( saith he ) deliver thy howse from the greate idoll , breake the hornes of that sinnefull one .",1551,JohnBale,t0,334075,"he hath not the hornes of the lambe , but like them : for he challengeth to himselfe power in temporall and in spiritvall matters : he maketh himselfe not onely a priest , but a king also : he will rule in heaven and in earth .",1590,LaurenceDeios,t1,2,0,0,2,0,1
hornes,334749,"if these be not the two hornes of the lambe , what are they ?",1590,LaurenceDeios,t1,611172,"it was unlike the other beasts that were before it , for it had tenne hornes.which ten hornes are expounded in the 24 . verse of the same chapter to be ten kings , which shal grow out of the ruines of this empire .",1586,WilliamHerbert,t1,2,0,0,0,0,3
polidorus,466722,"4 . alphredus beuerlacēsis , [ 129 ] ranulphus , cestrensis , ioannes harding , robertus fabian , tritemius in cōpendio volateranus & polidorus.¶an history to their ghostly purpose but se here i e cōueyaūce of thise spirtiual gentill men in playstering up their vnsauery sorceries .",1551,JohnBale,t0,283655,"1 . but polidorus saith aluritius , then elphegus , & c.about the same time in the yeare of our lord , [ 2364 ] 995 . aldunus bishop , translated the body of s. cuthbert from chester ( which first was in a northren iland then at rochester ) to durelme or dunoline .",1583,JohnFoxe,t1,4,0,0,0,0,4
polidorus,467746,"annorū , rogerus houeden , giraldus cambrensis , mattheus paris , polidorus , & ranulphus.page lxxx ☞ the kinge enprisoneth the canons wives of paules .",1551,JohnBale,t0,311293,polidorus speaking onely of their burning maketh no mentiō of hanging .,1583,JohnFoxe,t1,4,0,0,0,0,4
polidorus,81972,"with [ 23 ] my ways is best hold thy hande fro my throte there was till they had broughte it to the mysshapenfor me , that it is nowe in polidorus virgilius dothe [ 24 ] plainly manifest .",1548,Anonymous,t0,470133,"platina , petrus equilinus , fabianus et polidorus.¶an english monkes peramoure , is a pope.the monastery of fulda in germany , [ 406 ] was in those days much frequented of english monkes , by••use it was first buylded of the forseyd archebishop boniface , which was an englishe man borne , a yonge wenche borne and brought up in maguncia thereby , gilberta by name , [ 407 ] so minded one of those monkes , that she changed her apparell , and went away with him like a waitinge boy or lackey into straunge landes , and became in all sciences of learninge very counynge , and was called englishe iohan .",1551,JohnBale,t0,4,0,0,0,0,4
polidorus,306163,polidorus mistaketh the mother of becket .,1583,JohnFoxe,t1,324295,"and polidorus is declared , how the king was troubled greatly with 3 . sundry visions appearing unto him by night .",1583,JohnFoxe,t1,4,0,0,0,0,4
polidorus,169282,[ 632 ] polidorus .,1596,ThomasBell,t1,310991,"[ 3590 ] some of them doe write that he died of sorrowe and heavinesse of heart , as polidorus : some of surfetting in the night , as radulphus niger : some of a bloudy flixe , as roger houeden : some of a burning agewe , some of a cold sweat , some of eating apples , some of eating peares , some plummes , & c.thus you see what variety is among i e writers concerning i e death of this king iohn .",1583,JohnFoxe,t1,4,0,0,0,0,4
polidorus,297749,"besides them divers also he invested , and divers other like things tooke he upon him in the ecclesiastical state , which he might lawfully doe , gods worde allowing wel the same : but because it was restrained by the bishop of rome for him so to doe : this anselme swelled , fretted , and waxed so mad , that he woulde neither consent to it , neither iet confirme them : nor communicate nor talke frendly with them , whome the king had instituted and invested : but opprobriously called them abortiues , or children of destruction : disdainefully rebuking the gentle king as a defiler of religion and polluter of their holy ceremonies : as witnesseth polidorus .",1583,JohnFoxe,t1,165771,"priests were also married in our owne countrey of england , till the late days of the saide pope hildebrand , if wee will beleeve our owne english chronicles.polidorus another deare friend of the papists , shall tell them what he thinks of the popes proceeding , touching the marriage of priests : thus doth he write.illud tamen dixerim , tantum abfuisse , ut ista coacta castitas illam coniugalem vicerit , [ 632 ] ut etiam nullius delicti crimen maius ordini dedecus , plus malireligioni , plus doloris omnib bonis impresserit , inusserit , attulerit , quam sacerdotum libidinis labes : proinde forsitan tam è republica christiana quam ex ordinis usu esset ; ut tandem aliquando ius publici matrimoni• sacerdotibus restitueretur : quod illi sine infamia sanctè potius colerent , quam se spurcissimè eiuscemodi naturae vitio turpificarent.yet this i wil say , that this compelled chastity ( of priests , ) was so far frō excelling chastity in wedlock , as no crime whatsoever hath brought greater shame to priesthood , more harme to religion , more griefe to all good men , then the unchast life of priests .",1596,ThomasBell,t1,4,0,0,0,0,3
polidorus,468370,"and polidorus reporteth , that for hate of her father , whiche had slaine his elder brother alphrede , he utterly refused her againe , feysynge her goodes at his pleasure .",1551,JohnBale,t0,467722,"for some men of wisdome there were in those days , which smelled somwhat ( as polidorus reporteth ) iudging it to be as it was in dede , very subtile knauerye .",1551,JohnBale,t0,4,0,0,0,0,4
polidorus,466502,"[ 862 ] one william bishopp of durhan dispossessed the prestes of the college or cathedrall church of durham bicause of their wives , [ 863 ] and placed the monkes there in their rowmes , as witnesseth polidorus , ly .",1551,JohnBale,t0,283655,"1 . but polidorus saith aluritius , then elphegus , & c.about the same time in the yeare of our lord , [ 2364 ] 995 . aldunus bishop , translated the body of s. cuthbert from chester ( which first was in a northren iland then at rochester ) to durelme or dunoline .",1583,JohnFoxe,t1,4,0,0,0,0,4
polidorus,467801,"alphredus beuerlacen•is , ranulphus , rogerus , treuisa , ioannes cap•raue , polidorus , at{que } alij historiographi .",1551,JohnBale,t0,283655,"1 . but polidorus saith aluritius , then elphegus , & c.about the same time in the yeare of our lord , [ 2364 ] 995 . aldunus bishop , translated the body of s. cuthbert from chester ( which first was in a northren iland then at rochester ) to durelme or dunoline .",1583,JohnFoxe,t1,4,0,0,0,0,4
polidorus,466502,"[ 862 ] one william bishopp of durhan dispossessed the prestes of the college or cathedrall church of durham bicause of their wives , [ 863 ] and placed the monkes there in their rowmes , as witnesseth polidorus , ly .",1551,JohnBale,t0,467746,"annorū , rogerus houeden , giraldus cambrensis , mattheus paris , polidorus , & ranulphus.page lxxx ☞ the kinge enprisoneth the canons wives of paules .",1551,JohnBale,t0,4,0,0,0,0,4
scriptures,656798,"the like blemish happened to augustine , ierome and ciprian , men very famous for their learning & vertve : in origine & tertullian were somewhat greater blottes : whose faith notwithstanding , as farre forth as is agreable w t the scriptures , is not discredited by our devines , ne iet by your owne maistership ( if a man may be so bold to tell you , as also what i thinke you shall perhaps know hereafter ) in those your huge uolumes entituled de iusticia , [ 286 ] wherin you are of a cleane contrary opiniō to that learned man august .",1581,WalterHaddon,t1,231145,"neither do an•e of our bishops , or any of us deny , the hability of many of our brethren to be able to interpret the scriptures , & in the delivery of the doctrine thereof , to be equall either with the bishops , [ 117 ] or with any other .",1587,JohnBridges,t1,4,0,0,0,0,4
scriptures,656798,"the like blemish happened to augustine , ierome and ciprian , men very famous for their learning & vertve : in origine & tertullian were somewhat greater blottes : whose faith notwithstanding , as farre forth as is agreable w t the scriptures , is not discredited by our devines , ne iet by your owne maistership ( if a man may be so bold to tell you , as also what i thinke you shall perhaps know hereafter ) in those your huge uolumes entituled de iusticia , [ 286 ] wherin you are of a cleane contrary opiniō to that learned man august .",1581,WalterHaddon,t1,30358,"but that these men may not flatter , nor deceave themselves , i let them understand , that the scriptures doe in no place teach them , that the offences , and faultes of the ministers , and preachers , are always , the onely cause , why the worde of god , doth not take place in mens heartes .",1580,ThomasCooper,t1,4,0,0,0,0,4
scriptures,215997,"i wonder that you set your selfe against s. chrisostome , a father so auncient , so learned , so godly , so skilfull in the scriptures.rainoldes .",1584,JohnRainolds,t1,191124,"[ 164 ] s. paul doth acertaine us , [ 165 ] that the scriptures are able to [ direct and ] instruct to salvation by faith in christ iesus .",1585,ThomasBilson,t1,4,0,0,0,0,4
scriptures,231145,"neither do an•e of our bishops , or any of us deny , the hability of many of our brethren to be able to interpret the scriptures , & in the delivery of the doctrine thereof , to be equall either with the bishops , [ 117 ] or with any other .",1587,JohnBridges,t1,215997,"i wonder that you set your selfe against s. chrisostome , a father so auncient , so learned , so godly , so skilfull in the scriptures.rainoldes .",1584,JohnRainolds,t1,4,0,0,0,0,4
scriptures,418672,"these are high misteries , they are not to be serched , but it is inough for the to beleve as our holy father of rome and mother holi• … church hath beleued these thousandes yer• … if thou aske stil , howe can this be ▪ thou shal• be called an heretik a caparnaite , & iet doth christe ( oure saviour and good schole maister ( bid us searche the scriptures , for they [ 210 ] beare witnesse of him and his doctrine .",1548,AnthonyGilby,t0,239524,"though in very good reason , ( if they will confesse the truth ) they mu•t of necessity confesse no lesse , though they will confesse no more : and how then did they say before ( speaking of the name of bishops ) that it is never used in the scriptures , for such bishops , as claime and exercise dominion over whole regions , and all the pastors of the same , but onely for those that be pastors of every severall congregation , [ 4047 ] having no superiority over their fellow pastors , but bee all of equall dignity and authority ?",1587,JohnBridges,t1,4,0,0,0,0,4
scriptures,377071,"for the holy goste worketh this unity in them whiche beleve , and this unity of spirite bringeth , and preserveth the trve peace , and edification of the churche.and the maner and ordre of chosinge or callinge the ministers of the congregation , which the holy goste hath appointed in the scriptures , maketh for the preservation of this unity .",1547,HermannvonWied2,t0,30358,"but that these men may not flatter , nor deceave themselves , i let them understand , that the scriptures doe in no place teach them , that the offences , and faultes of the ministers , and preachers , are always , the onely cause , why the worde of god , doth not take place in mens heartes .",1580,ThomasCooper,t1,4,0,0,0,0,3
scriptures,702286,"but i would wish that you hadde learned a little more , and then i doubte not but you woulde have been atraide eithere to bely goddes moste holyeboke or to sette any of gods scriptures on the •acke or else to crxampe them .",1548,RobertCrowley,t0,377071,"for the holy goste worketh this unity in them whiche beleve , and this unity of spirite bringeth , and preserveth the trve peace , and edification of the churche.and the maner and ordre of chosinge or callinge the ministers of the congregation , which the holy goste hath appointed in the scriptures , maketh for the preservation of this unity .",1547,HermannvonWied2,t0,4,0,0,0,0,4
scriptures,702286,"but i would wish that you hadde learned a little more , and then i doubte not but you woulde have been atraide eithere to bely goddes moste holyeboke or to sette any of gods scriptures on the •acke or else to crxampe them .",1548,RobertCrowley,t0,453670,"you are profoundly seene in the scriptures , i perceive by this .",1580,RichardBristow,t1,4,0,0,0,0,4
scriptures,231145,"neither do an•e of our bishops , or any of us deny , the hability of many of our brethren to be able to interpret the scriptures , & in the delivery of the doctrine thereof , to be equall either with the bishops , [ 117 ] or with any other .",1587,JohnBridges,t1,37406,"of s. peters sitting at antioch as bishoppe , we finde nothing in the scriptures , and lesse of his removing to rome .",1580,WilliamFulke,t1,4,0,0,0,0,2
scriptures,160019,"thou seest here reader , that o r adversaries have nat lost their labours in learning of logike / but that they have crafte to reason and cōclude of the scriptures even what soever they liste .",1536,Anonymous2,t0,656798,"the like blemish happened to augustine , ierome and ciprian , men very famous for their learning & vertve : in origine & tertullian were somewhat greater blottes : whose faith notwithstanding , as farre forth as is agreable w t the scriptures , is not discredited by our devines , ne iet by your owne maistership ( if a man may be so bold to tell you , as also what i thinke you shall perhaps know hereafter ) in those your huge uolumes entituled de iusticia , [ 286 ] wherin you are of a cleane contrary opiniō to that learned man august .",1581,WalterHaddon,t1,4,0,0,0,0,4
fees,741471,"and there it is further said , to this purpose : sy praedicti 40 . s. pro misis & expensis in causa diffamationis adiudicati fuerint , tunc ad executionem inde faciendam licite procedere poteritis , prohibitione nostra non obstante.fees dve in ecclesiasticall courts , and curates and clerkes wages deteined , come next in this place to be prooved of ecclesiasticall conusance .",1593,RichardCosin,t1,237028,"for if there were no other endes of them ; both their fees and the offices could not continve , nor ever had begun.neither helpeth it the matter , that they say not simply , sinodes are holden for no other ende at all : but that they are holden fo• no other ende almost : for , although almost never reached home ; and so , it appeareth , that they are holden for other endes , if they had bene as willing to shewe them , as to shewe these thinges that here they picke quarrels withall : iet , if they had so done , they should have shewed , that the gathering of these fees , in very deede were no endes of sinodes at all , but allowances assigned unto them , that travelled in the sinodes , to the endes that sinodes were and are ordeined for .",1587,JohnBridges,t1,4,0,0,0,0,3
fees,593977,"suche as be mete to beare office seke them out , hiere them , geue them compotente and liberall fees that they shall not nede to take any bribes .",1549,HughLatimer,t0,38993,man i have sente the kindly syghtand vnderstandynge skill and wytteto rule thy selfe by reason ryghtas reherseth holy wrytethat clerely sheweth the godly lyghthow thou sholde deedly sinne forsakeand on that maner thou please me myghtwhat aileth the thus fro me to shakeworlde richesse roiall repayrein welth and thinges of iolytefysshes / beestes / and birdes of the ayrethese thinketh me semely for to sethat thinge i • peressheth and dooth appayrevnto the sight thus pleasinge bewell maist thou witte i am full fayreof whome eche thinge hath this beautebut man as thou witlesse werethou lokest ay downwarde as a beestit behoveth the of me to herefoule spekynge is to the a feesti comforte the i make the chereand thou inwardly lovest me leesti call the unto me iere by yerethou wilte not come at my requestas fro thy foo thou fro me felesi folowe the fast and on the cryethou wrappest the with all vanytesand thinke my speche to the but folyeand a thinge that nought is thou wyltelesemy ioy that lasteth endlesseman iet vice leve and vertve cheseand make amendes or that thou dyehomo .,1534,WilliamLichfield,t0,4,0,0,0,0,1
fees,535022,"for if y were not starke blind y would se and be ashamed that where as fifty • … unne belied monckes geven to glotony filled their pawnches , kept • … p their house and • … elyued the whol country round about them , ther one of your gredy gu• … es deu• … wringe the whole house and making great pillage throughouce the country , can not be satisfyed.if y had any eys , y should se and be ashamed to cōfesse that if some of you shoulde not have many offices , there woulde not be menne inoughe founde , to put in every office one manne , mete and able by doinge of their dewties to seruethe kinge , and take good order amongest the people , where as there is a greate number too many of your sorte whiche thincke your selves mete and worthy by takinge many offices in hande , too burden the kinge and the people with all fees and charges belonging unto every office : yea and fu• … ermore to requyre personages , prebendes , dean• … ies and any manner of livinge dve unto the ecclesiasticall ministery , to be geven unto you for seruynge the kinge in takinge the vauntage of many , and doing the duties of fewe offices belonging unto civill pollycye.if y hadde any eys y shoulde se and be ashamed that in the great aboundannce of landes and goods taken from abbeys , colleges and chauntries for to serve the king in all necessaries , & charges , especially in provision of reliefe for the pore , & for maintenaunce of learninge the kinge is so disapointed , that bothe the pore be spoiled , all maintenance of learning decayd , and youonly en ryched .",1550,ThomasLever2,t0,358244,"obadiah 5 . beholde , the customer of the life of man , who taxeth halfe our days to his owne use , [ 312 ] commeth upon ionas , and is not content with ordinary , moderate fees , but bereaveth him of all sense .",1599,JohnKing,t1,4,0,0,1,0,3
fees,69013,provided alway and that we defend forbid that at the saide feest of cristmasse that they that have no horses as we have said shal not make new clothinges of silkes .,1532,AnonymousKarlV,t0,230806,[ 4648 ] ordinary fees of officers .,1587,JohnBridges,t1,1,0,0,0,0,1
fees,534904,"and now crafty flatterers which have once served for their wages in time and place of the sclender assalte , doo afterwardes requyre and perswade you for that seruyse to geue them the spoile of other holdes remaining continuallye in more daunger truly frenchmen and scottes be but feble ennemies , and at certaine times do sclenderly assalt castels , towers , and such maner of holdes : the devil seking like a ro ring lion , whom he may devoure , nighte & day , winter and sommer , with a wonderful forse of wicked spirites , doth ever besiege by shoprickes , shires , townes , and parishes.yf these places be not wel furnished with stout and trve soldiers of bothe the sortes ( i meane both officers in civile policy , and also prelates in ecclesiasticall ministery ) or if those souldiers be unprovided of necessary livings and dewe wages , then must the people nedes perishe and be destroyd for their owne sinnes , and the bloud of their bodies and soules requyred at your handes , whiche be charged and trusted of both god , and the king to provide souldiers to those places , and also wages and liuinges to maintaine those soldiers continually.how be it now many personages , benefices , offices , and fees be sold unto covetous bribers for money , which seke nothing but the vantage of extorcion , robbry and spoile , and fewe of them be freely given unto faithful ministers & officers for their woorthines , which could and would by diligent doinge of their duty , governe , instruct and cherishe goddes people , the kinges subiectes.and therefore nowe the most part of men lacking teachers & rulers , do without griefe of conscience , or feare of punishment , abuse every thinge unto the ruine and destruccion , whiche god hath ordained unto the upholding & increase of a christian commune welth.as for example , now bying and selling is not used as a provision for good cheape and great plenty , but made the most occasion of dearth and scarsity .",1550,ThomasLever2,t0,38993,man i have sente the kindly syghtand vnderstandynge skill and wytteto rule thy selfe by reason ryghtas reherseth holy wrytethat clerely sheweth the godly lyghthow thou sholde deedly sinne forsakeand on that maner thou please me myghtwhat aileth the thus fro me to shakeworlde richesse roiall repayrein welth and thinges of iolytefysshes / beestes / and birdes of the ayrethese thinketh me semely for to sethat thinge i • peressheth and dooth appayrevnto the sight thus pleasinge bewell maist thou witte i am full fayreof whome eche thinge hath this beautebut man as thou witlesse werethou lokest ay downwarde as a beestit behoveth the of me to herefoule spekynge is to the a feesti comforte the i make the chereand thou inwardly lovest me leesti call the unto me iere by yerethou wilte not come at my requestas fro thy foo thou fro me felesi folowe the fast and on the cryethou wrappest the with all vanytesand thinke my speche to the but folyeand a thinge that nought is thou wyltelesemy ioy that lasteth endlesseman iet vice leve and vertve cheseand make amendes or that thou dyehomo .,1534,WilliamLichfield,t0,1,0,0,0,0,1
fees,573373,"fourthly , this gracious example of our heavenly father , dealing so mercifully with his disobedient children , cōdemneth the uncharitable practises of three sorts of men : the first sort is the papists , whose fingers are died of a sangvine colour in the bloud of those men , which have but transgressed the dirty decrees of an italian priest ; & iet these gnatstrainers , and camel swalowers , bewaile the want of love among us : secondly it meeteth with an abuse in church governours , who use sometime to make out excōmunications for fees , for trifles , and matters of small importance , as though the greatest censure of the church and the greatest iudgement next to the generall iudgement may be dallied withal , and so farre abused , as thereby to cut off , & cast out members of the church , to sathan at mens pleasures .",1602,Godwooinghischurch,t1,358244,"obadiah 5 . beholde , the customer of the life of man , who taxeth halfe our days to his owne use , [ 312 ] commeth upon ionas , and is not content with ordinary , moderate fees , but bereaveth him of all sense .",1599,JohnKing,t1,4,0,0,0,0,4
fees,542173,"this i do not bringe in , bicause i wolde any man shuld lacke cherishing , when he is sicke , thoughe there be no hope of his recovery : but that i wolde well shewe , howe all good ordred comune welthes , in time past abhorred these belies , that have no handes : these flies , that fede upon other mens labours : these that beinge idle , without any occupation , without landes , fees , wages , doo nothinge but complaine of fortune , complaine of theim that be governours of the realme : and thus either sow sedition amōges the people , or els be the feldes them selfe apt to bringe forth such fruites , these be they , that with their venomous tongve , stinge and poysone the fame of them that are set in office , to see that they do lesse mischiefe , then they wolde doo .",1536,RichardMorison2,t0,741471,"and there it is further said , to this purpose : sy praedicti 40 . s. pro misis & expensis in causa diffamationis adiudicati fuerint , tunc ad executionem inde faciendam licite procedere poteritis , prohibitione nostra non obstante.fees dve in ecclesiasticall courts , and curates and clerkes wages deteined , come next in this place to be prooved of ecclesiasticall conusance .",1593,RichardCosin,t1,4,0,0,0,0,3
