target,sent_id1,sentence1,year1,text1,period1,sent_id2,sentence2,year2,text2,period2,semantic_relatedness,hate1,hate2
dionisius,602728,"thou doest le ( saith s. damascen reciting these word{is } ) o adversary , by what meane dionisius confirmeth praiers to be very profitable for them , which are departed in a holy hope [ 374 ] this aunciente doctour damas .",1546,RichardSmith,t0,296415,"to this dionisius aunswering , said : [ 1118 ] al men worship not al gods , but divers men divers gods , so as every one hath in himselfe a mind or phantasy to worship .",1583,JohnFoxe,t1,4,0,0
dionisius,67244,"but what if you had bene rewarded of the same forte for your talkinge as theocritus chius was of antigamus . , calisthenes of alexandre , and antipho of dionisius .",1550,Anonymous,t0,230481,[ 934 ] dionisius b. of corinthu• in the apostles days .,1587,JohnBridges,t1,4,0,0
dionisius,602236,"dionisius ariopag , anno d. 47ignatius anno .",1546,RichardSmith,t0,451071,"and therefore it séemeth , some wordes to bée lacking in another place of his , where nowe wée reade as though it was ireneus , against whom dionisius wrote .",1580,RichardBristow,t1,4,0,0
dionisius,601412,[ 369 ] dionisius lib .,1546,RichardSmith,t0,698466,"bellarmine in deede maketh great shew of antiquity , but most of his ancient testimonies , are either out of forged authors , or els impertinently alleaged , or by him corrupted and falsified : as , to give one instance for many , his dealing in the controversy of purgatory evidently sheweth.first , the constitutions of clemens , dionisius de ecclesiastic .",1603,AndrewWillet1,t1,4,0,0
dionisius,631762,"[ 54 ] god maketh & apointeth his , yeuen frō the mothers wombe unto thos thīgs wherunto he hath destined every man [ 55 ] dionisius bisshope of corinth writ an epistle to i e guosians , wherin he admonissheth & instanly exhorteth ther bisshop pinitus that he will not laid the brethren with the great burthens of cōpultion to vowe chastity for so he might chaunce to put i e ī firmite of many in a hasarde .",1549,MartinBucer,t0,230481,[ 934 ] dionisius b. of corinthu• in the apostles days .,1587,JohnBridges,t1,4,0,0
dionisius,67244,"but what if you had bene rewarded of the same forte for your talkinge as theocritus chius was of antigamus . , calisthenes of alexandre , and antipho of dionisius .",1550,Anonymous,t0,248763,"but that they suffered at one time , dionisius bishop of corinthus , when he was placed in the city , [ 963 ] and disputed of the scripture ( or in writing ) saith thus : but you also having had warning of peter and paule , have ioined together the planting of the romain , & of the corinthian church for both of them comming together , did teach also in our churche of corinthus , & throughout all italy , & teaching together in this church were together at one and the same time crowned with martirdome , these thinges have we rehearsed , that the story which is in the opinion of all men , might be more confirmed.this dionisius héere mentioned , lived also in the time of this irenaeus and wrote ( saith ierome ) an epistle to the romaines , [ 964 ] which he wrote to soter bishop there , next before eleutherius , to whome irenaeus being but priest , was sent , and of whome he saith héere , which now hath the bishopricke in the 12 . place from the apostles .",1587,JohnBridges,t1,4,0,0
dionisius,155544,[ 321 ] the answere to dionisius de eccle .,1550,ThomasCranmer,t0,248763,"but that they suffered at one time , dionisius bishop of corinthus , when he was placed in the city , [ 963 ] and disputed of the scripture ( or in writing ) saith thus : but you also having had warning of peter and paule , have ioined together the planting of the romain , & of the corinthian church for both of them comming together , did teach also in our churche of corinthus , & throughout all italy , & teaching together in this church were together at one and the same time crowned with martirdome , these thinges have we rehearsed , that the story which is in the opinion of all men , might be more confirmed.this dionisius héere mentioned , lived also in the time of this irenaeus and wrote ( saith ierome ) an epistle to the romaines , [ 964 ] which he wrote to soter bishop there , next before eleutherius , to whome irenaeus being but priest , was sent , and of whome he saith héere , which now hath the bishopricke in the 12 . place from the apostles .",1587,JohnBridges,t1,4,0,0
dionisius,698466,"bellarmine in deede maketh great shew of antiquity , but most of his ancient testimonies , are either out of forged authors , or els impertinently alleaged , or by him corrupted and falsified : as , to give one instance for many , his dealing in the controversy of purgatory evidently sheweth.first , the constitutions of clemens , dionisius de ecclesiastic .",1603,AndrewWillet1,t1,296415,"to this dionisius aunswering , said : [ 1118 ] al men worship not al gods , but divers men divers gods , so as every one hath in himselfe a mind or phantasy to worship .",1583,JohnFoxe,t1,4,0,0
dionisius,9603,"againe unto whom prayd ioseph iohn̄ baptiste , lazarus , nicodemus , gamaliel , cornelius , apollo , dionisius , aquilia , steven , philip , agabus , ananias , timothe , titus , ioses , philemon , and all the apostles , with many other , whiche are contained in i e volumes of both testamentes , but unto god alone ?",1542,ThomasBecon,t0,248763,"but that they suffered at one time , dionisius bishop of corinthus , when he was placed in the city , [ 963 ] and disputed of the scripture ( or in writing ) saith thus : but you also having had warning of peter and paule , have ioined together the planting of the romain , & of the corinthian church for both of them comming together , did teach also in our churche of corinthus , & throughout all italy , & teaching together in this church were together at one and the same time crowned with martirdome , these thinges have we rehearsed , that the story which is in the opinion of all men , might be more confirmed.this dionisius héere mentioned , lived also in the time of this irenaeus and wrote ( saith ierome ) an epistle to the romaines , [ 964 ] which he wrote to soter bishop there , next before eleutherius , to whome irenaeus being but priest , was sent , and of whome he saith héere , which now hath the bishopricke in the 12 . place from the apostles .",1587,JohnBridges,t1,4,0,0
dionisius,155544,[ 321 ] the answere to dionisius de eccle .,1550,ThomasCranmer,t0,631762,"[ 54 ] god maketh & apointeth his , yeuen frō the mothers wombe unto thos thīgs wherunto he hath destined every man [ 55 ] dionisius bisshope of corinth writ an epistle to i e guosians , wherin he admonissheth & instanly exhorteth ther bisshop pinitus that he will not laid the brethren with the great burthens of cōpultion to vowe chastity for so he might chaunce to put i e ī firmite of many in a hasarde .",1549,MartinBucer,t0,4,0,0
foxes,520323,[ 279 ] why foxes must be takē.,1585,EdwinSandys,t1,517592,"these are the lords two hands ; to both these he speaketh when hee saith , take the foxes .",1585,EdwinSandys,t1,4,2,2
foxes,441058,"i dare say he never herde in his life man nor woman say , that no man may pray but at chyrche.as trew is it also that men say their pater noster to the poste / by which name it pleaseth him of his reverent cristen minde to call the images of holy faintes and oure blissed lady , and the figure of cristes crosse , the booke of his bitter passyon.though we reverence these in honour of the thinges whiche they represent / and in the remembrauns of criste do crepe to the crosse and kisse it and say a pater noster at it : iet say we not the pater noster to it but to god / and that [ c ] woteth tindale full well , but that he listeth to rayle.as for that he sayth of the service , ceremonies , and observaunces of the chirche , which he calleth here vaine imaginacions , howlinge , buzsynge , and crienge out like halowinges of the foxes or baytynge of berys , & thus he saith it is now / but of olde time he saith i t the officers appointed there unto , preched the pure word of god onely , and prayd in a tonge that every man vnderstode.as for prechinge of the pure word of god : i muste wit of tindale whither he meane the worde writen or vnwryten or bothe .",1532,ThomasMore,t0,520829,these lawfull meanes are wisely to be used of christian magistrates ; as traps to take these litle foxes.34 the first is death .,1585,EdwinSandys,t1,1,2,2
foxes,520829,these lawfull meanes are wisely to be used of christian magistrates ; as traps to take these litle foxes.34 the first is death .,1585,EdwinSandys,t1,287034,"but for so much as it is our part principally and chiefly to foresee and looke unto these crafty foxes which goe about to destroy the vineiarde of the lord of hostes , therefore we do cite & and call forth by the tenour of these presentes , thy person manifoldly defamed and suspected for the temerarious affirming and teaching of manifold erroures , so that within the term of 15 . days to be accompted from the date of these presentes , wherof 5 . days are appointed for the first term five for the second , and other five for the third , we do ordein and appoint by canonicall admonition and warninge , that thou do appeare in the publique session of the sacred councell , if there be any holden the same day , or els i • first day immediately following , when as any session shalbe , according to the tenour of thy said writing , to answere to those thinges , which any person or persons shall obiect or lay against thee in any cause of thy faith , and to receive & have , as iustice shall require .",1583,JohnFoxe,t1,4,2,2
foxes,520829,these lawfull meanes are wisely to be used of christian magistrates ; as traps to take these litle foxes.34 the first is death .,1585,EdwinSandys,t1,497441,"now to the other articles of english matters , and english iesvits , the first is of their dissension , and particulerly of fa : garnet , and fa : weston , which this fa : saith we contradict in our latter bookes , complaining that fa : garnet , father weston , fa : parsons , and the rest , are too much united , the one obeying the others becke.you have read i suppose the history of sampsons foxes , who were all tied together by the tailes , running with their heads divers courses , iet all into the philistians corne .",1603,WilliamClark,t1,2,2,2
foxes,468319,"but i maruele that he sent not therwith , a foxes taile for a scepture , and a whode with two eares .",1551,JohnBale,t0,343300,"which duty in semblable maner should now long agoe have beene done of us , did not the hope wee conceive in the middest of many tempestes , confirme us in such expectation of her maiestie and her most honourable counsell , as that according to their clemency towardes the poore ministers and their families , but most especially according to their holy and zealous care , which ought to abound for the cleane driving out of the cananites , and planting , hedging , pruning , and continuall preserving of the lord his vineyard , from foxes , yea little foxes , this civill war , as a man may say , of the church wherein so much of that bloud [ 4 ] * ( wherof paule speaketh ) is powred to the grounde , shoulde by their holy and iuste authority , fully bee ended .",1584,Anonymous,t1,2,0,2
foxes,468319,"but i maruele that he sent not therwith , a foxes taile for a scepture , and a whode with two eares .",1551,JohnBale,t0,287034,"but for so much as it is our part principally and chiefly to foresee and looke unto these crafty foxes which goe about to destroy the vineiarde of the lord of hostes , therefore we do cite & and call forth by the tenour of these presentes , thy person manifoldly defamed and suspected for the temerarious affirming and teaching of manifold erroures , so that within the term of 15 . days to be accompted from the date of these presentes , wherof 5 . days are appointed for the first term five for the second , and other five for the third , we do ordein and appoint by canonicall admonition and warninge , that thou do appeare in the publique session of the sacred councell , if there be any holden the same day , or els i • first day immediately following , when as any session shalbe , according to the tenour of thy said writing , to answere to those thinges , which any person or persons shall obiect or lay against thee in any cause of thy faith , and to receive & have , as iustice shall require .",1583,JohnFoxe,t1,2,0,2
foxes,287034,"but for so much as it is our part principally and chiefly to foresee and looke unto these crafty foxes which goe about to destroy the vineiarde of the lord of hostes , therefore we do cite & and call forth by the tenour of these presentes , thy person manifoldly defamed and suspected for the temerarious affirming and teaching of manifold erroures , so that within the term of 15 . days to be accompted from the date of these presentes , wherof 5 . days are appointed for the first term five for the second , and other five for the third , we do ordein and appoint by canonicall admonition and warninge , that thou do appeare in the publique session of the sacred councell , if there be any holden the same day , or els i • first day immediately following , when as any session shalbe , according to the tenour of thy said writing , to answere to those thinges , which any person or persons shall obiect or lay against thee in any cause of thy faith , and to receive & have , as iustice shall require .",1583,JohnFoxe,t1,698249,"609 . the masse promiseth sufficient redemption to the wicked , that have spent their life in drunkennes , adultery , & c. if they come to the church and heare a masse , and take holy bread and holy water , or finde a soule priest , or give somewhat to the priest to doe penance for them , though they neither pray , nor repent , nor heare the word preached : for this the libeller crieth out , a shamelesse mate , a notorious ly , & c. and roger holland , that died for the gospell , who thus much confesseth of himselfe , he calleth in derision , holy holland , one of foxes martirs , runnagate roger.the defence .",1603,AndrewWillet1,t1,1,2,0
hornes,68059,"but now a days when we do se i e bisshops wearing those cappes w t hornes , i beseche i u what shall they signify .",1536,Anonymous1,t0,275240,"13 . and 17 . and in respect of his conditions and qualities , that he should be for opposition an adversary , although a disguised enemy ; for pride and ambition , advancing himselfe above all that is called god : for his other vices , a man of sinne in generall , and more specially an horrible idolatour : in regard of his effects , that he and his followers should be workers of signes and wonders , in the sight of men , that he should compell all sorts of men to receive the marke or name of the beast , or number of his name : and lastly , for that which he was to suster , that christ shall consume him with the breath of his mouth , that is , the ministery of the gospell ; and that thereupon the ten hornes which first assisted him , shall afterwards assault him : it followeth therefore , that unto such as we affirme to be antichrist , all these notes are to be applied , ( as we have applied them all to the pope of rome ) whereas contrariwise the deniall of any one essentiall property , is an argument sufficient to proove the negative .",1603,GeorgeDowname,t1,2,0,0
hornes,334075,"he hath not the hornes of the lambe , but like them : for he challengeth to himselfe power in temporall and in spiritvall matters : he maketh himselfe not onely a priest , but a king also : he will rule in heaven and in earth .",1590,LaurenceDeios,t1,275061,"in the second & seventh chapters , of them all together , resembling them in the second chapter by an image , the golden head whereof figureth the babilonians , the breast and armes of silver the medes and persians , the belly and sides of brasse , represent the macedonians , his legges of iron , and his feete , part of iron , and part of clay , resemble the seleucidae & lagidae : and in the seventh chapter , the same foure kingdomes are figured by 4 . beastes , the babilonians by a lion , the medes and persians by a beare , the macedonians by a leoparde , the seleucidae and lagidae , by the beast with tenne hornes.6 severally he prophecieth , either of the babilonian monarchy , or of the rest .",1603,GeorgeDowname,t1,2,0,0
hornes,68080,"there are certaine mery conceited felowes , whiche do suppose i t the two hornes doo betoken i t a bisshop ought to be lerned ī i e scriptur{is } of both testament{is } but the two fyllettes hanginge so at al auentures behinde their backe , they do thinke to signify contrary wise , that they are excedingly ignoraunt in bothe , & not so moche as to be willinge to learne theim .",1536,Anonymous1,t0,334749,"if these be not the two hornes of the lambe , what are they ?",1590,LaurenceDeios,t1,2,0,0
hornes,466635,"o lorde ( saith he ) deliver thy howse from the greate idoll , breake the hornes of that sinnefull one .",1551,JohnBale,t0,334051,"13.11 . which was the second beast that iohn sawe , which came up out of the earth , and had two hornes like the lambe , but spake like the dragon : & it is the same beast , which whosoever worshippeth , or his image , or receiveth his marke , hee must drinke of the wine of the wrath of god , apoc .",1590,LaurenceDeios,t1,2,0,0
hornes,4702,"x. hornes , which bare the great whore arayd all in purple and rose coloure , apoca .",1550,JohnBale,t0,333429,"thus both sortes push at the peace of this church , with the hornes of the beast , and albeit upon diverse groundes , iet to one and the selfe same end , which is , the utter overthrowe of the church , if their courses be not carefully and speedily prevented .",1590,LaurenceDeios,t1,4,0,0
hornes,469980,"hornes of that earthly beaste were here in england , [ 304 ] the .",1551,JohnBale,t0,275061,"in the second & seventh chapters , of them all together , resembling them in the second chapter by an image , the golden head whereof figureth the babilonians , the breast and armes of silver the medes and persians , the belly and sides of brasse , represent the macedonians , his legges of iron , and his feete , part of iron , and part of clay , resemble the seleucidae & lagidae : and in the seventh chapter , the same foure kingdomes are figured by 4 . beastes , the babilonians by a lion , the medes and persians by a beare , the macedonians by a leoparde , the seleucidae and lagidae , by the beast with tenne hornes.6 severally he prophecieth , either of the babilonian monarchy , or of the rest .",1603,GeorgeDowname,t1,4,0,0
hornes,333429,"thus both sortes push at the peace of this church , with the hornes of the beast , and albeit upon diverse groundes , iet to one and the selfe same end , which is , the utter overthrowe of the church , if their courses be not carefully and speedily prevented .",1590,LaurenceDeios,t1,275061,"in the second & seventh chapters , of them all together , resembling them in the second chapter by an image , the golden head whereof figureth the babilonians , the breast and armes of silver the medes and persians , the belly and sides of brasse , represent the macedonians , his legges of iron , and his feete , part of iron , and part of clay , resemble the seleucidae & lagidae : and in the seventh chapter , the same foure kingdomes are figured by 4 . beastes , the babilonians by a lion , the medes and persians by a beare , the macedonians by a leoparde , the seleucidae and lagidae , by the beast with tenne hornes.6 severally he prophecieth , either of the babilonian monarchy , or of the rest .",1603,GeorgeDowname,t1,4,0,0
hornes,67818,"there are in the papisticall bisshops ( if i be not begiled ) farre better fasyons and vertves , wherof leaste any man might hereafter desire a rehersall : i shall reherse as many of theim as i can call to remembraunce , and they are cōmenly suche as here foloweth.the firste propriety chiefly belonging unto theim is , [ 35 ] to be excedingly ignoraunt , & without any maner { per}ceyuyng of all learninge to flee & eschewe matrimony or wedlocke , and in stede of it to kepe as many harlottes as they liste / to beare in their handes a shepehoke of silver bounde about with a towell , to weare a mitre with hornes / to go after the maner of pageaunt{is } in processiōs / to have their crowne brode shaven / to have many titles & townes & a very large dominion undre their sprincle , ( for i will use their owne tearme ) to leade aboute with a certay ne pompe goodly palfrayes , [ 36 ] and that a great many of them , afterthe maner of one triumphinge , to be proude with all maner pompe & gorgiousnes after i e courte facion / to kepe officialles / that is to say , certaine robbers & pillers of provinces , & tormentours of pore men / to kill soules by tiranny & excōicacyons / & ( whiche thinge i had almost forgotten ) to painte & set up in every place the armes of their kinned ramping lions , & suche other monumentes , with a shepehoke & a bisshops crosse put therunto to set forth their fingers to the shewe , decked with goodly ryng{is } of golde to arme their handes w t purple gloues , leste els they might be a colde in the middes of their ceremonies / to sprincle dombe stones & stockes in the churches , hauig a ladder set to every wal ) w t i wot not what war to cōfirme , 〈2 pages missing 〉 vnkynde , wicked / withoute affeccion / false accusers .",1536,Anonymous1,t0,611172,"it was unlike the other beasts that were before it , for it had tenne hornes.which ten hornes are expounded in the 24 . verse of the same chapter to be ten kings , which shal grow out of the ruines of this empire .",1586,WilliamHerbert,t1,2,0,0
hornes,466635,"o lorde ( saith he ) deliver thy howse from the greate idoll , breake the hornes of that sinnefull one .",1551,JohnBale,t0,334075,"he hath not the hornes of the lambe , but like them : for he challengeth to himselfe power in temporall and in spiritvall matters : he maketh himselfe not onely a priest , but a king also : he will rule in heaven and in earth .",1590,LaurenceDeios,t1,2,0,0
hornes,334749,"if these be not the two hornes of the lambe , what are they ?",1590,LaurenceDeios,t1,611172,"it was unlike the other beasts that were before it , for it had tenne hornes.which ten hornes are expounded in the 24 . verse of the same chapter to be ten kings , which shal grow out of the ruines of this empire .",1586,WilliamHerbert,t1,2,0,0
heremites,7310,"for all this time the prestes hadde their wives , and the monkes were at their liberte , to goo or to come , excepte it were a certen of them whiche upon their owne braine , wholly addicted themselves to that rule , withoute either counsellpage xixor commaundemente of god , to make [ 118 ] sathan apere the aungell of lighte to the excecated worlde , as the sequele here declareth.i reade in the chronicle of cirillus the greke heremite , de processu sui ordinis ad abbatem ioachim , that aymericus a [ 119 ] frenche man , beinge the popes legate and patriarke of antioche , gathered togither by vertu of his commission , a certen nombre of dispersed heremites in the mounte of carmelus .",1550,JohnBale,t0,567848,"[ 1061 ] sometimes , contrary hereunto , the divell will goe about to deceave them with higher imaginations , preferring unto them other orders of religion , which be more strait than that , wherein they are entered : & especially the holy order of the carthusiansthe which thing he doth , to allure them out of their religion with this pretence , that after he hath once entised them out of their religion , he may then take full possession of them , and carry them upon his hornes whither he listeth.some times also the divell bringeth them to be in love excedingly with solitary life , using thereunto the examples , & lives of the auncient holy heremites : to the end that when he hath led them from al company through this solitary walke , having them there alone , where they can not take advise or counsaile of their spiritvall fathers , and confessours , hee may the more easily prevaile against them.but among all these kindes of temptations , the most daungerous are those , [ 1062 ] that come under pretence of goodnes , and doe beare a shew of vertve .",1599,LuisdeGranada,t1,4,0,0
heremites,160519,"for the christen pfection doth not stande in the contempte and despising of civile ordenaunces : but in the motions of the harte , in the great feare of god , in great faith , as abrahā , david , daniel , even in those great riches and empires were no lesse pfecte , than any heremites .",1536,Anonymous2,t0,328584,"and over this viciousnesse , heremites and pardoners , ankers , and straunge beggers , are licensed and admitted of prelates and priestes , for to beguile the people with flatteringes and leasinges slaunderously against all good reason and trve beleve , and so to encrease divers vices in themselves , and also among all them that accept them or consent to them.and thus , the viciousnesse of these foresaid named priestes & prelates , have bene long time , and iet is , and shal be cause of wars both within the realme and without .",1583,JohnFoxe,t1,4,0,0
heremites,465326,"the heremites , of s. austins .",1537,Anonymous1,t0,567848,"[ 1061 ] sometimes , contrary hereunto , the divell will goe about to deceave them with higher imaginations , preferring unto them other orders of religion , which be more strait than that , wherein they are entered : & especially the holy order of the carthusiansthe which thing he doth , to allure them out of their religion with this pretence , that after he hath once entised them out of their religion , he may then take full possession of them , and carry them upon his hornes whither he listeth.some times also the divell bringeth them to be in love excedingly with solitary life , using thereunto the examples , & lives of the auncient holy heremites : to the end that when he hath led them from al company through this solitary walke , having them there alone , where they can not take advise or counsaile of their spiritvall fathers , and confessours , hee may the more easily prevaile against them.but among all these kindes of temptations , the most daungerous are those , [ 1062 ] that come under pretence of goodnes , and doe beare a shew of vertve .",1599,LuisdeGranada,t1,4,0,0
heremites,160519,"for the christen pfection doth not stande in the contempte and despising of civile ordenaunces : but in the motions of the harte , in the great feare of god , in great faith , as abrahā , david , daniel , even in those great riches and empires were no lesse pfecte , than any heremites .",1536,Anonymous2,t0,400493,"so the church of rome as compact of all heresies , hath divers new meanes of recovery out of damnation , and many religions , as of friers monkes and heremites .",1602,JosiasNichols1,t1,4,0,0
heremites,465890,"these foresaide heremites were in i e time of decius , ualens , theodosius and dicletian , from ccc .",1537,Anonymous1,t0,688530,"after christes giorious ascention , by false apostles sathan set forward againe his auncient practice , which although the great paine and diligence of the apostles & apostolicall pastors in their time mightily suppressed : but when the apostles and the apostolical pastors were taken out of this life to rest with the lorde , and that the faithfull workemen and diligent pastors wared sha nt and thin in the lordes vineyard , then did sathan go forward very busily with this practice : [ 165 ] and by such as came sorth of the very bosom of the church , speaking great thinges to the drawing of disciples and followers after then , until he had set his chiefe preudēt , antichrist & vicar general in his sente , wherin hee in these sectaries stil pretendeth religion and godlinesse : but always denieth and detesteth the substance thereof , this well appeareth in the sectaries of all ages : but especially after the first seven hundreth yeered , when the monkish locustes began to rise & swarme out of the bothomles pit , & to spreade themselves into the worlde , as the benedictes , augustines , donstinians , cistrians , with an infinite number beades , some blacke , some white : and when the admiration of these began to decay , then giveth the devill a fresh onset againe by a newe supply of friers , chanons , nunnes , ancorettes , and heremites , a new band of other sectaries , which termed thēselues schoolemen & canonists , some sententionaries , some thomistes , some scotistes , some canonistes , some summistes , some penitenciaries , angellical doctors , some cyraphicall , and some sorbonistes : and every of these for the most parte both of sundry orders and fraternites and of divers opinions , and iet every of these orders , fraternities , sentences , decrees , ordinaunces , holines , yea and their houses and garments , whether they were old or newe of more honour , estimation and credit , then their christ , his death , his passiō , his merits , his in tercestions , his gospell , or any thing unto him any way belonging .",1582,PeterWhite,t1,4,0,0
heremites,465326,"the heremites , of s. austins .",1537,Anonymous1,t0,465890,"these foresaide heremites were in i e time of decius , ualens , theodosius and dicletian , from ccc .",1537,Anonymous1,t0,4,0,0
heremites,465890,"these foresaide heremites were in i e time of decius , ualens , theodosius and dicletian , from ccc .",1537,Anonymous1,t0,466062,aihons heremites .,1537,Anonymous1,t0,4,0,0
heremites,456093,"and fulke doth nothing here , but helpe our side , in that he [ * ] often reiecteth monkes , heremites , anachorites , canons , friers , nunnes , graunting them no place in the churche of christe , partely by an argument ab authoritate ephes .",1580,RichardBristow,t1,728924,"nay we are sure they were none such : for the auncient bishops of rome , the monks and heremites of former time , were of a divers faith and iudgement in religion , then now the popery and monkery of the romish church is : for otherwise the apostle telleth us directly , [ 482 ] that no idolaters shall inherit the kingdome of god .",1603,AndrewWillet2,t1,4,0,0
